Player,BPConv%,BPSvd%,Breaks/Set,BPChances,BPFaced,Matches
Aaro Pollanen,0.1,0.0,1.0,10,1,1
Aaron Addison,0.2796,0.6349,1.625,93,126,16
Aaron Cohen,0.25,0.6667,1.5,12,24,2
Aaron James Williams,0.5,0.5714,3.0,6,14,1
Abdoulaziz Bationo,0.0,0.5556,0.0,4,9,2
Abdullah Shannan Alharrasi,0.38,0.4545,0.0,0,11,1
Abdulrahman Al Janahi,0.1667,0.3704,0.3333,6,27,3
Abduvoris Saitmukhamedov,0.0,0.125,0.0,1,8,2
Abedallah Shelbayh,0.4268,0.5973,2.9296,1366,1428,199
Abel Forger,0.1111,0.7,1.0,9,10,1
Abel Hernandez Aguila,0.25,0.4783,0.6667,8,23,3
Abhinav Sanjeev Shanmugam,0.3333,0.5786,1.7273,114,140,22
Abraham Asaba,0.5,0.5143,1.75,14,35,4
Abror Isakov,0.4545,0.6591,2.5,22,44,4
Ace Matias,1.0,0.3333,1.0,1,9,1
Adam Bronka,0.3333,0.6,2.0,6,10,1
Adam El Mihdawy,0.4331,0.5411,1.8889,157,207,36
Adam Farag Cao,0.3,0.56,1.0,10,25,3
Adam Heinonen,0.2353,0.4074,2.0,34,27,4
Adam Jilly,0.4,0.4286,2.0,10,7,2
Adam Jones,0.38,0.6,0.0,0,5,1
Adam Jurajda,0.3571,0.6207,1.6667,14,29,3
Adam Majchrowicz,0.3529,0.4516,1.5,34,62,8
Adam Majchrzak,1.0,0.0,2.0,2,4,1
Adam Moundir,0.0,0.4167,0.0,3,12,2
Adam Nagoudi,1.0,0.5333,0.5,1,15,2
Adam Neff,0.375,0.58,1.8462,64,100,13
Adam Pavlasek,0.4389,0.6031,2.8894,1547,1499,235
Adam Taylor,0.2,0.5053,0.5455,30,95,11
Adam Walton,0.4042,0.6163,2.592,1289,1045,201
Adelchi Virgili,0.4934,0.5537,3.4242,229,242,33
Adhithya Ganesan,0.4355,0.5275,2.25,62,91,12
Adil Kalyanpur,0.3802,0.4961,1.4839,121,258,31
Adil Karimov,0.3333,0.6667,1.0,3,12,1
Adit Sinha,0.2,0.6538,1.3333,20,26,3
Aditya Deswal,0.4286,0.375,3.0,14,16,2
Aditya Govila,0.3333,0.3333,1.0,3,6,1
Aditya Vishal Balsekar,0.4545,0.5368,2.5,55,95,10
Admir Kalender,0.2667,0.5918,1.0,15,49,4
Adolfo Daniel Vallejo,0.4429,0.573,3.6228,1366,1192,167
Adria Soriano Barrera,0.3654,0.6459,1.8313,416,514,83
Adrian Andreev,0.4151,0.5655,2.9834,1732,1673,241
Adrian Andrzejczuk,0.3429,0.425,2.0,35,40,6
Adrian Arcon,0.38,0.375,0.0,0,16,2
Adrian Bodmer,0.3529,0.6061,2.0,102,132,18
Adrian Fernandez,0.38,0.4,0.0,0,10,1
Adrian Mannarino,0.4284,0.5682,3.2581,943,718,124
Adrian Menendez Maceiras,0.4043,0.6013,2.513,2387,2187,384
Adrian Obert,0.2857,0.5556,2.0,7,9,1
Adrian Oetzbach,0.3931,0.5562,3.1667,290,329,36
Adrian Sikora,0.3582,0.5357,2.1818,67,84,11
Adrian Ungur,0.4151,0.5737,3.1132,795,685,106
Adrien Bossel,0.3776,0.5768,2.0625,437,423,80
Adrien Burdet,0.1429,0.3636,0.5,7,11,2
Adrien Gobat,0.4,0.5973,2.3158,110,149,19
Adrien Puget,0.6047,0.6,3.25,43,65,8
Agustin Boje Ordonez,0.2222,0.1667,2.0,9,6,1
Agustin Eduardo Cuellar Lorberg,0.75,0.125,3.0,4,8,1
Agustin Libre,0.75,0.25,3.0,4,8,1
Agustin Mastri,0.0,0.3333,0.0,4,6,1
Agustin Moreno,0.2941,0.5517,1.25,17,29,4
Agustin Suarez Gonzalez,0.25,0.3333,1.0,4,6,1
Agustin Velotti,0.4,0.5876,2.7039,1210,1193,179
Ahmad Nael Qureshi,0.0,0.2857,0.0,4,7,1
Ahmed Deedat Abdul Razak,0.38,0.58,0.0,0,0,2
Aidan Kim,0.3582,0.5316,2.1818,67,79,11
