Player,Rank,BestRank,Elo,hElo,cElo,gElo,Matches,Wins,Losses,Win%,Hard_Matches,Clay_Matches,Grass_Matches,Hard_Win%,Clay_Win%,Grass_Win%,Form10,Form20,Tour_Quality,Reliability
Raphael Collignon,68,68,1977.5,1846.8,1819.7,1501.2,150,102,48,0.68,85,63,2,0.6471,0.7302,0.5,0.9,0.85,0.612,0.5618
Tallon Griekspoor,35,35,1973.0,1736.0,1892.3,1555.9,216,144,72,0.6667,73,136,7,0.6164,0.6838,0.8571,0.7,0.85,0.5978,0.5624
Roman Safiullin,176,42,1957.3,1813.3,1830.7,1522.5,303,184,119,0.6073,197,96,10,0.6142,0.5938,0.6,1.0,0.85,0.597,0.5712
Tommy Paul,15,15,1948.8,1890.2,1691.3,1549.7,219,142,77,0.6484,149,58,12,0.6577,0.6207,0.6667,0.9,0.9,0.586,0.5518
Dino Prizmic,87,87,1947.6,1744.3,1858.3,1498.3,146,100,46,0.6849,71,73,2,0.6479,0.726,0.5,0.9,0.85,0.5978,0.5476
Alejandro Tabilo,43,38,1942.7,1771.4,1875.5,1502.6,279,181,98,0.6487,89,182,8,0.6292,0.6648,0.5,0.9,0.8,0.5933,0.5656
Ethan Quinn,48,48,1942.3,1863.8,1623.9,1515.6,143,86,57,0.6014,115,25,3,0.6087,0.56,0.6667,0.8,0.75,0.5822,0.5324
Ugo Humbert,50,25,1938.9,1802.4,1672.9,1504.4,157,112,45,0.7134,132,21,4,0.7273,0.6667,0.5,1.0,0.8,0.5986,0.5514
Aljaz Bedene,57,49,1936.4,1838.4,1784.9,1522.0,104,89,15,0.8558,58,44,2,0.8448,0.8636,1.0,0.7,0.8,0.5658,0.5022
Camilo Ugo Carabelli,48,48,1928.5,1553.4,1909.3,1475.8,340,215,125,0.6324,29,309,2,0.4828,0.6505,0.0,0.9,0.85,0.6045,0.581
Mariano Navone,45,31,1927.2,1582.1,1868.1,1496.1,156,104,52,0.6667,11,142,3,0.5455,0.6831,0.3333,0.7,0.7,0.6077,0.5595
Nuno Borges,49,36,1909.2,1850.0,1758.9,1532.2,178,123,55,0.691,72,96,10,0.7222,0.6771,0.6,0.6,0.75,0.6072,0.5644
Matteo Arnaldi,103,37,1904.7,1692.7,1842.5,1526.2,162,99,63,0.6111,58,100,4,0.5345,0.65,0.75,0.6,0.65,0.5933,0.5479
Borna Coric,85,33,1904.5,1746.8,1760.7,1500.0,80,57,23,0.7125,38,42,0,0.7105,0.7143,,0.8,0.8,0.584,0.5026
Rafael Jodar,109,109,1902.9,1864.6,1529.4,1500.0,67,52,15,0.7761,62,5,0,0.7903,0.6,,0.9,0.9,0.6075,0.5101
Brandon Nakashima,29,29,1901.3,1840.9,1646.7,1584.6,170,115,55,0.6765,120,35,15,0.7083,0.5429,0.7333,0.7,0.8,0.5946,0.5509
Hamad Medjedovic,88,67,1900.8,1694.7,1873.9,1536.8,157,102,55,0.6497,75,73,9,0.56,0.7397,0.6667,0.9,0.7,0.581,0.5352
Marcos Giron,76,45,1900.4,1859.2,1567.3,1569.4,234,141,93,0.6026,192,30,12,0.6146,0.4667,0.75,0.7,0.75,0.5831,0.551
Alexander Blockx,91,88,1898.0,1818.7,1606.8,1513.8,145,92,53,0.6345,120,18,7,0.65,0.5556,0.5714,0.6,0.7,0.5952,0.5449
Thanasi Kokkinakis,87,67,1897.9,1840.4,1759.7,1445.7,195,142,53,0.7282,123,58,14,0.7642,0.7586,0.2857,0.8,0.85,0.5745,0.5372
Matteo Berrettini,92,23,1894.1,1830.8,1630.7,1528.4,122,82,40,0.6721,89,29,4,0.6966,0.5862,0.75,0.7,0.8,0.5974,0.5387
Carlos Alcaraz,55,55,1892.5,1554.2,1831.3,1500.0,61,47,14,0.7705,7,54,0,0.7143,0.7778,,1.0,0.85,0.5944,0.4921
Yibing Wu,100,100,1889.2,1820.4,1650.8,1500.0,134,96,38,0.7164,107,27,0,0.729,0.6667,,0.8,0.75,0.5976,0.5435
Luciano Darderi,34,34,1888.3,1486.8,1871.0,1488.7,196,124,72,0.6327,10,185,1,0.4,0.6486,0.0,0.7,0.85,0.6108,0.5714
Pablo Carreno Busta,94,37,1887.9,1783.6,1766.7,1500.0,108,79,29,0.7315,44,64,0,0.7727,0.7031,,0.8,0.75,0.5911,0.5268
Zachary Svajda,88,88,1887.3,1823.2,1447.7,1672.7,241,146,95,0.6058,183,21,37,0.6284,0.2381,0.7027,0.7,0.8,0.5837,0.5524
Corentin Moutet,33,33,1885.6,1787.3,1764.3,1547.8,267,171,96,0.6404,139,120,8,0.6187,0.6583,0.75,0.6,0.65,0.5831,0.5548
Joao Fonseca,65,65,1885.2,1819.4,1602.5,1492.1,63,43,20,0.6825,36,22,5,0.7778,0.5909,0.4,0.9,0.85,0.6067,0.5048
Jack Draper,91,82,1884.8,1868.1,1492.3,1461.7,93,61,32,0.6559,79,6,8,0.7215,0.3333,0.25,0.9,0.85,0.6084,0.5334
Lucas Pouille,102,32,1883.2,1802.0,1703.8,1508.3,178,114,64,0.6404,113,50,15,0.646,0.68,0.4667,0.7,0.8,0.5822,0.5412
Alexander Bublik,76,46,1879.3,1802.0,1621.8,1513.4,225,140,85,0.6222,163,43,19,0.6626,0.5116,0.5263,0.8,0.75,0.5843,0.551
Marton Fucsovics,58,50,1877.8,1847.0,1682.7,1626.3,289,190,99,0.6574,176,95,18,0.6761,0.5895,0.8333,0.7,0.7,0.5776,0.5515
Sebastian Ofner,83,38,1876.3,1748.8,1810.0,1604.3,398,228,170,0.5729,169,197,32,0.5385,0.5888,0.6562,0.6,0.8,0.5929,0.573
Lorenzo Musetti,29,29,1876.0,1659.1,1805.8,1500.0,113,72,41,0.6372,40,73,0,0.6,0.6575,,0.8,0.8,0.5966,0.5341
Sebastian Baez,45,31,1876.0,1539.4,1861.5,1494.0,99,74,25,0.7475,8,90,1,0.625,0.7667,0.0,0.6,0.7,0.5933,0.5239
Giovanni Mpetshi Perricard,58,36,1874.7,1750.8,1660.1,1574.6,147,91,56,0.619,81,57,9,0.6296,0.5614,0.8889,0.8,0.8,0.6012,0.551
Eliot Spizzirri,89,89,1873.8,1816.5,1546.3,1510.3,127,77,50,0.6063,103,13,11,0.6311,0.5385,0.4545,0.7,0.8,0.5898,0.5338
Hubert Hurkacz,63,41,1873.4,1762.4,1764.0,1501.4,183,121,62,0.6612,111,68,4,0.6577,0.6765,0.5,0.7,0.75,0.601,0.5597
