Player,RPW%,Break%,Return Points,Return Games,Matches,Breaks Won
Aaro Pollanen,0.3333,0.0833,96,12,1,1
Aaron Addison,0.3375,0.1557,1052,167,16,26
Aaron Cohen,0.3469,0.1304,147,23,2,3
Aaron James Williams,0.3861,0.2,101,15,1,3
Abdoulaziz Bationo,0.2605,0.0,119,20,2,0
Abdullah Shannan Alharrasi,0.2,0.0,30,6,1,0
Abdulrahman Al Janahi,0.2286,0.05,105,20,3,1
Abduvoris Saitmukhamedov,0.2414,0.0,58,10,2,0
Abedallah Shelbayh,0.3931,0.2705,14056,2155,199,583
Abel Forger,0.3659,0.0625,123,16,1,1
Abel Hernandez Aguila,0.3086,0.0769,162,26,3,2
Abhinav Sanjeev Shanmugam,0.3544,0.1929,1233,197,22,38
Abraham Asaba,0.3183,0.1458,289,48,4,7
Abror Isakov,0.3562,0.2083,292,48,4,10
Ace Matias,0.2895,0.1429,38,7,1,1
Adam Bronka,0.3944,0.2,71,10,1,2
Adam El Mihdawy,0.3652,0.223,1892,305,36,68
Adam Farag Cao,0.288,0.1,184,30,3,3
Adam Heinonen,0.3707,0.1818,321,44,4,8
Adam Jilly,0.3542,0.2222,96,18,2,4
Adam Jones,0.1304,0.0,46,10,1,0
Adam Jurajda,0.3319,0.1389,226,36,3,5
Adam Majchrowicz,0.3172,0.1558,454,77,8,12
Adam Majchrzak,0.2931,0.2,58,10,1,2
Adam Moundir,0.2762,0.0,105,18,2,0
Adam Nagoudi,0.2857,0.0909,63,11,2,1
Adam Neff,0.3411,0.1558,944,154,13,24
Adam Pavlasek,0.4009,0.2774,15962,2448,235,679
Adam Taylor,0.2834,0.0638,554,94,11,6
Adam Walton,0.3794,0.2332,14412,2234,201,521
Adelchi Virgili,0.4208,0.3238,2260,349,33,113
Adhithya Ganesan,0.3621,0.2061,823,131,12,27
Adil Kalyanpur,0.3307,0.1586,1745,290,31,46
Adil Karimov,0.3125,0.1111,64,9,1,1
Adit Sinha,0.337,0.1053,273,38,3,4
Aditya Deswal,0.3986,0.2727,143,22,2,6
Aditya Govila,0.3571,0.1111,56,9,1,1
Aditya Vishal Balsekar,0.388,0.2632,598,95,10,25
Admir Kalender,0.3054,0.125,203,32,4,4
Adolfo Daniel Vallejo,0.4324,0.3485,11430,1736,167,605
Adria Soriano Barrera,0.3532,0.1708,5727,890,83,152
Adrian Andreev,0.3992,0.2734,17252,2630,241,719
Adrian Andrzejczuk,0.3709,0.1967,399,61,6,12
Adrian Arcon,0.2564,0.0,78,14,2,0
Adrian Bodmer,0.3463,0.1865,1210,193,18,36
Adrian Fernandez,0.1429,0.0,28,6,1,0
Adrian Mannarino,0.4121,0.3022,8654,1337,124,404
Adrian Menendez Maceiras,0.3823,0.2412,26281,4000,384,965
