Player,Ace%,DF%,1stIn,1st%,2nd%,Hld%,Matches,SvPts,SvGms,BP Saved%,Breaks Conceded
Aaro Pollanen,0.0899,0.1124,0.5393,0.7083,0.561,0.9167,1,89,12,0.0,1
Aaron Addison,0.0804,0.0714,0.5241,0.6985,0.4709,0.7229,16,1120,166,0.6349,46
Aaron Cohen,0.0132,0.0395,0.6908,0.6,0.4681,0.6364,2,152,22,0.6667,8
Aaron James Williams,0.0252,0.0756,0.5546,0.6515,0.3962,0.5714,1,119,14,0.5714,6
Abdoulaziz Bationo,0.0427,0.0171,0.7094,0.6627,0.4412,0.7778,2,117,18,0.5556,4
Abdullah Shannan Alharrasi,0.0182,0.1455,0.5636,0.4194,0.3333,0.1429,1,55,7,0.4545,6
Abdulrahman Al Janahi,0.0067,0.06,0.6133,0.3478,0.4483,0.2273,3,150,22,0.3704,17
Abduvoris Saitmukhamedov,0.0526,0.0702,0.614,0.4286,0.3636,0.2222,2,57,9,0.125,7
Abedallah Shelbayh,0.0491,0.0493,0.5878,0.6753,0.4978,0.7356,199,14307,2163,0.5973,575
Abel Forger,0.0104,0.0312,0.6146,0.7119,0.5135,0.8,1,96,15,0.7,3
Abel Hernandez Aguila,0.0241,0.0422,0.6145,0.549,0.4375,0.52,3,166,25,0.4783,12
Abhinav Sanjeev Shanmugam,0.0916,0.057,0.4719,0.7031,0.4869,0.6959,22,1299,194,0.5786,59
Abraham Asaba,0.041,0.1638,0.5324,0.6667,0.3723,0.6222,4,293,45,0.5143,17
Abror Isakov,0.0088,0.0206,0.7198,0.6025,0.4632,0.6875,4,339,48,0.6591,15
Ace Matias,0.0,0.0208,0.7708,0.4054,0.4545,0.25,1,48,8,0.3333,6
Adam Bronka,0.0,0.0952,0.5714,0.5556,0.4444,0.5556,1,63,9,0.6,4
Adam El Mihdawy,0.0693,0.0955,0.5015,0.7277,0.4233,0.6833,36,1948,300,0.5411,95
Adam Farag Cao,0.0826,0.0565,0.5348,0.6829,0.3738,0.6333,3,230,30,0.56,11
Adam Heinonen,0.0241,0.0828,0.6724,0.6462,0.3895,0.6364,4,290,44,0.4074,16
Adam Jilly,0.0968,0.0538,0.5376,0.74,0.4884,0.7647,2,93,17,0.4286,4
Adam Jones,0.0667,0.05,0.5833,0.6571,0.56,0.7778,1,60,9,0.6,2
Adam Jurajda,0.0678,0.0763,0.4703,0.7207,0.44,0.6857,3,236,35,0.6207,11
Adam Majchrowicz,0.0671,0.0515,0.5839,0.6207,0.4194,0.5405,8,447,74,0.4516,34
Adam Majchrzak,0.0429,0.0571,0.6286,0.6364,0.4615,0.6364,1,70,11,0.0,4
Adam Moundir,0.051,0.0408,0.5408,0.6415,0.4444,0.6111,2,98,18,0.4167,7
Adam Nagoudi,0.0125,0.1125,0.475,0.6316,0.2857,0.3636,2,80,11,0.5333,7
Adam Neff,0.1243,0.0691,0.5058,0.7353,0.4796,0.7273,13,941,154,0.58,42
Adam Pavlasek,0.0602,0.033,0.6096,0.6808,0.5038,0.7564,235,16009,2426,0.6031,595
Adam Taylor,0.05,0.0532,0.6032,0.5775,0.3699,0.4946,11,620,93,0.5053,47
Adam Walton,0.0842,0.0322,0.631,0.7275,0.5309,0.8196,201,13854,2223,0.6163,401
Adelchi Virgili,0.0514,0.0708,0.5585,0.6924,0.4497,0.6932,33,2317,352,0.5537,108
Adhithya Ganesan,0.0552,0.0487,0.6158,0.6186,0.5127,0.6815,12,924,135,0.5275,43
Adil Kalyanpur,0.016,0.0559,0.632,0.5938,0.4055,0.5623,31,2057,297,0.4961,130
Adil Karimov,0.0494,0.0864,0.5185,0.5952,0.4615,0.6,1,81,10,0.6667,4
Adit Sinha,0.0543,0.058,0.5725,0.6266,0.5508,0.7568,3,276,37,0.6538,9
Aditya Deswal,0.0388,0.0698,0.5969,0.5974,0.3846,0.5455,2,129,22,0.375,10
Aditya Govila,0.0164,0.0492,0.4754,0.5517,0.5,0.5556,1,61,9,0.3333,4
Aditya Vishal Balsekar,0.0407,0.0472,0.5382,0.571,0.4507,0.5269,10,615,93,0.5368,44
Admir Kalender,0.031,0.0581,0.5155,0.5789,0.368,0.4118,4,258,34,0.5918,20
Adolfo Daniel Vallejo,0.0316,0.0451,0.6166,0.6471,0.4992,0.7068,167,11271,1736,0.573,509
Adria Soriano Barrera,0.0939,0.045,0.6113,0.7242,0.4957,0.798,83,5932,901,0.6459,182
Adrian Andreev,0.0397,0.0284,0.6348,0.6619,0.4916,0.7234,241,17139,2614,0.5655,727
Adrian Andrzejczuk,0.0479,0.0882,0.6373,0.6324,0.3611,0.6102,6,397,59,0.425,23
Adrian Arcon,0.0614,0.114,0.5439,0.5484,0.3077,0.3333,2,114,15,0.375,10
Adrian Bodmer,0.07,0.0386,0.5563,0.7115,0.484,0.7277,18,1271,191,0.6061,52
Adrian Fernandez,0.0488,0.0488,0.5122,0.3333,0.35,0.1429,1,41,7,0.4,6
Adrian Mannarino,0.0568,0.0288,0.6036,0.6904,0.5206,0.7653,124,8272,1321,0.5682,310
Adrian Menendez Maceiras,0.0578,0.029,0.6171,0.6993,0.5166,0.7816,384,25646,3965,0.6013,872
Adrian Obert,0.0448,0.0746,0.5522,0.6757,0.3667,0.6,1,67,10,0.5556,4
Adrian Oetzbach,0.0415,0.0578,0.6027,0.6492,0.4321,0.6482,36,2819,415,0.5562,146
Adrian Sikora,0.0249,0.0475,0.5926,0.6333,0.4723,0.6803,11,842,122,0.5357,39
Adrian Ungur,0.0287,0.0413,0.6104,0.6532,0.5295,0.7289,106,6869,1077,0.5737,292
Adrien Bossel,0.0869,0.0472,0.5524,0.7316,0.5069,0.7785,80,5038,808,0.5768,179
Adrien Burdet,0.0275,0.0826,0.6881,0.6667,0.2647,0.5882,2,109,17,0.3636,7
Adrien Gobat,0.0409,0.0465,0.5842,0.6634,0.4695,0.7101,19,1419,207,0.5973,60
Adrien Puget,0.0674,0.0627,0.5439,0.7089,0.433,0.7204,8,638,93,0.6,26
Agustin Boje Ordonez,0.0244,0.0488,0.6341,0.5769,0.2667,0.375,1,41,8,0.1667,5
Agustin Eduardo Cuellar Lorberg,0.0,0.0952,0.7143,0.3333,0.25,0.125,1,42,8,0.125,7
Agustin Libre,0.0196,0.0588,0.6275,0.5,0.2632,0.3333,1,51,9,0.25,6
Agustin Mastri,0.0,0.02,0.66,0.5455,0.5294,0.5,1,50,8,0.3333,4
Agustin Moreno,0.0346,0.1342,0.5065,0.7009,0.4298,0.6286,4,231,35,0.5517,13
Agustin Suarez Gonzalez,0.0,0.0351,0.6491,0.6216,0.4,0.5556,1,57,9,0.3333,4
Agustin Velotti,0.054,0.034,0.546,0.6883,0.5048,0.7342,179,12164,1851,0.5876,492
Ahmad Nael Qureshi,0.0,0.1,0.7,0.4286,0.4167,0.2857,1,40,7,0.2857,5
Ahmed Deedat Abdul Razak,0.05,0.035,0.62,0.7,0.5,0.78,2,0,0,0.58,0
Aidan Kim,0.0701,0.0375,0.5957,0.6387,0.5015,0.6917,11,799,120,0.5316,37
Aidan Mayo,0.0649,0.0536,0.5645,0.7062,0.5041,0.7631,167,12058,1853,0.5976,441
Aidan Mchugh,0.0522,0.0304,0.6569,0.6704,0.5132,0.7592,124,9468,1433,0.5984,345
Ainius Sabaliauskas,0.0588,0.098,0.6078,0.871,0.2,0.6667,1,51,9,0.25,3
Aisam Ul Haq Qureshi,0.0719,0.0432,0.6187,0.7209,0.4151,0.75,5,139,20,0.7059,5
Aitor Aramburu,0.0041,0.0864,0.6831,0.506,0.3247,0.4054,5,243,37,0.5217,22
Aj Catanzariti,0.0241,0.012,0.759,0.619,0.5,0.75,1,83,12,0.4,3
Ajeet Rai,0.0854,0.0448,0.5935,0.6905,0.4666,0.721,65,4709,724,0.5844,202
Akanit Pumjit,0.0492,0.082,0.4918,0.6667,0.3871,0.5,1,61,8,0.5,4
Akash Wagh,0.05,0.035,0.62,0.7,0.5,0.78,1,0,0,0.58,0
Akira Santillan,0.0775,0.0522,0.601,0.7108,0.4983,0.7681,328,22844,3553,0.5892,827
Akram El Sallaly,0.0431,0.0677,0.5969,0.6392,0.5344,0.6863,5,325,51,0.4074,16
Alaa Trifi,0.01,0.2,0.42,0.5238,0.2759,0.2778,2,100,18,0.0714,13
Alan Bojarski,0.0,0.0385,0.6058,0.5556,0.561,0.5882,2,104,17,0.4167,7
Alan Fernando Rubio Fierros,0.0272,0.0577,0.6352,0.6312,0.426,0.6181,30,2130,309,0.5513,118
Alan Gadjiev,0.0521,0.1042,0.5781,0.7387,0.358,0.6364,3,192,33,0.4545,12
Alan Kohen,0.0,0.0506,0.5633,0.5618,0.4928,0.6,2,158,25,0.5,10
Alan Magadan,0.0533,0.0485,0.5566,0.6883,0.497,0.7205,26,1856,297,0.5389,83
Alan Nunez Aguilera,0.0522,0.0597,0.5746,0.6753,0.3684,0.6667,2,134,18,0.6667,6
Alan Sau Franco,0.0201,0.0503,0.6106,0.5309,0.4258,0.4643,6,398,56,0.5238,30
Alan Wazny,0.0137,0.0548,0.653,0.5664,0.3289,0.4375,3,219,32,0.5,18
Aland Sanson,0.0,0.1333,0.4667,0.2857,0.3125,0.1667,1,30,6,0.2857,5
Alastair Gray,0.0967,0.046,0.6224,0.7279,0.4733,0.7931,72,5461,846,0.6032,175
Albano Olivetti,0.2084,0.0886,0.5405,0.822,0.4993,0.861,90,6142,964,0.6847,134
Albert Alcaraz Ivorra,0.0503,0.0377,0.6281,0.648,0.527,0.7419,7,398,62,0.5429,16
Albert Montanes,0.0441,0.0598,0.5788,0.6802,0.4855,0.7222,95,5555,853,0.576,237
Albert Pedrico Kravtsov,0.0261,0.0634,0.5784,0.7161,0.4779,0.7442,5,268,43,0.5217,11
Albert Ramos,0.0301,0.0264,0.6516,0.6692,0.5088,0.7581,171,11775,1819,0.6064,440
Alberto Barroso Campos,0.0457,0.033,0.6158,0.6591,0.4726,0.7095,73,5359,802,0.6003,233
Alberto Brizzi,0.0329,0.0445,0.6151,0.7013,0.5477,0.7614,8,517,88,0.4474,21
Alberto Bronzetti,0.0262,0.0552,0.5494,0.6508,0.4323,0.6364,6,344,55,0.375,20
Alberto Garcia Garcia,0.0,0.1,0.6083,0.4932,0.3617,0.3889,2,120,18,0.4762,11
Alberto Lim,0.0612,0.0,0.6735,0.4242,0.4375,0.375,1,49,8,0.375,5
Alberto Morolli,0.0167,0.05,0.5833,0.7429,0.4,0.6667,1,60,9,0.4,3
Alberto Odiseo Alvarado Berrospi,0.0101,0.0,0.6263,0.4516,0.4324,0.3333,2,99,15,0.4118,10
